Bola	0.01	23.85	23.90	23.80	23.90	23.90	23.80	23.90	23.80	23.85	23.85
Bola	0.01	23.85	23.90	23.80	23.90	23.90	23.80	23.90	23.80	23.85	23.85
Bola	0.01	23.88	23.93	23.83	23.93	23.93	23.83	23.93	23.83	23.88	23.88
Bola	0.01	23.86	23.91	23.81	23.91	23.91	23.81	23.91	23.81	23.86	23.86
Bola	0.01	23.87	23.92	23.82	23.92	23.92	23.82	23.92	23.82	23.87	23.87
Cubo	0.01	12.50	12.40	12.40	12.40	12.50	12.45	12.50	12.45	12.47	12.47
Cubo	0.01	12.50	12.40	12.40	12.40	12.50	12.45	12.50	12.45	12.47	12.47
Cubo	0.01	12.52	12.42	12.42	12.42	12.52	12.47	12.52	12.47	12.53	12.53
Cubo	0.01	12.51	12.41	12.41	12.41	12.51	12.46	12.51	12.46	12.47	12.47
Cubo	0.01	12.53	12.43	12.43	12.43	12.53	12.48	12.53	12.48	12.53	12.53
Barrinha	0.01	29.0000	29.0500	29.0000	29.0000	29.0500	29.0500	29.0500	29.0000	29.0500	29.0000
Barrinha	0.01	29.0000	29.0500	29.0000	29.0000	29.0500	29.0500	29.0500	29.0000	29.0500	29.0000
Barrinha	0.01	29.0100	29.0600	29.0100	29.0100	29.0600	29.0600	29.0600	29.0100	29.0600	29.0100
Barrinha	0.01	29.0200	29.0700	29.0200	29.0200	29.0700	29.0700	29.0700	29.0200	29.0700	29.0200
Barrinha	0.01	29.0300	29.0800	29.0300	29.0300	29.0800	29.0800	29.0800	29.0300	29.0800	29.0300
Barra	0.01	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	165.4000
Barra	0.01	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	165.4000
Barra	0.01	163.0100	163.0100	163.0100	163.0100	163.0100	163.0100	163.0100	163.0100	163.0100	165.4100
Barra	0.01	163.0200	163.0200	163.0200	163.0200	163.0200	163.0200	163.0200	163.0200	163.0200	165.4200
Barra	0.01	163.0300	163.0300	163.0300	163.0300	163.0300	163.0300	163.0300	163.0300	163.0300	165.4300
