Cubo	Trena	0.05	cm	2.2000	2.3000	2.4000	2.2000	2.3000	2.2000	2.3000	2.4000	2.2000	2.3000
Cubo	Régua	0.05	cm	2.3000	2.2500	2.3500	2.3000	2.3500	2.3000	2.2500	2.3500	2.3000	2.3500
Cubo	Paquímetro	0.005	cm	2.3000	2.3200	2.3300	2.3100	2.3400	2.3100	2.3200	2.3300	2.3100	2.3400
Cubo	Régua	0.05	cm	2.3300	2.3100	2.3400	2.3200	2.3300	2.3100	2.3400	2.3200	2.3300	2.3100
Cubo	Trena	0.05	cm	2.2500	2.3500	2.3000	2.2500	2.3500	2.3000	2.2500	2.3500	2.3000	2.2500
Barbante	Régua	0.05	cm	56.6000	57.0000	56.9000	57.2000	56.5000	56.6000	57.0000	56.9000	57.2000	56.5000
Barbante	Trena	0.05	cm	58.0000	58.3000	57.0000	57.4000	56.9000	56.0000	58.0000	58.3000	57.0000	57.4000
Barbante	Paquímetro	0.005	cm	56.4700	56.8900	56.8100	56.6100	56.7400	56.4700	56.8900	56.8100	56.6100	56.7400
Barbante	Trena	0.05	cm	57.4000	57.6000	57.8000	58.0000	58.2000	58.4000	58.6000	58.8000	59.0000	59.2000
Barbante	Régua	0.05	cm	56.5000	56.4000	56.3000	56.2000	56.1000	56.0000	55.9000	55.8000	55.7000	55.6000
Bola	Paquímetro	0.005	cm	1.7900	1.8000	1.7800	1.8100	1.8200	1.8000	1.8000	1.7800	1.8100	1.8200
Bola	Micrômetro	0.025	cm	1.7840	1.7800	1.7820	1.7840	1.7860	1.7840	1.7800	1.7820	1.7840	1.7860
Bola	Paquímetro	0.005	cm	1.8200	1.8000	1.7900	1.8100	1.8200	1.8000	1.7900	1.8100	1.8200	1.8000
Bola	Paquímetro	0.005	cm	1.8000	1.7900	1.8100	1.8200	1.8000	1.7900	1.8100	1.8200	1.8000	1.7900
Bola	Micrômetro	0.025	cm	1.7860	1.7840	1.7800	1.7820	1.7840	1.7860	1.7840	1.7800	1.7820	1.7840
Barrinha_x	Paquímetro	0.005	cm	14.9200	14.9050	14.9000	14.9000	14.9100	14.9200	14.9050	14.9000	14.9000	14.9100
Barrinha_x	Régua	0.05	cm	14.9000	14.8000	14.9000	15.0000	14.9000	14.8000	14.9000	15.0000	14.9000	14.8000
Barrinha_x	Trena	0.05	cm	15.0000	14.9000	14.9000	15.0000	14.9000	15.0000	14.9000	14.9000	15.0000	14.9000
Barrinha_x	Paquímetro	0.005	cm	14.9100	14.9200	14.9050	14.9000	14.9000	14.9100	14.9200	14.9050	14.9000	14.9000
Barrinha_x	Régua	0.05	cm	14.8000	14.9000	15.0000	14.9000	14.8000	14.9000	15.0000	14.9000	14.8000	14.9000
Barrinha_y	Régua	0.05	cm	2.0500	2.1000	2.1000	1.9500	2.1500	1.9500	2.1500	2.0500	2.0500	2.1000
Barrinha_y	Régua	0.05	cm	2.2000	2.2500	2.2500	2.0500	2.3000	2.0500	2.3000	2.2000	2.2000	2.2500
Barrinha_y	Régua	0.05	cm	2.0000	2.0500	2.0500	1.9500	2.1000	1.9500	2.1000	2.0000	2.0000	2.0500
Barrinha_y	Régua	0.05	cm	2.1500	2.2000	2.2000	2.0000	2.2500	2.0000	2.2500	2.1500	2.1500	2.2000
Barrinha_y	Régua	0.05	cm	2.0500	2.1000	2.1000	1.9500	2.1500	1.9500	2.1500	2.0500	2.0500	2.1000
Barrinha_z	Micrômetro	0.025	mm	2.5000	2.4500	2.4500	2.5000	2.5500	2.4000	2.5000	2.4000	2.4000	2.4500
Barrinha_z	Micrômetro	0.025	mm	2.3500	2.3000	2.3000	2.3500	2.4000	2.2500	2.3500	2.2500	2.2500	2.3000
Barrinha_z	Micrômetro	0.025	mm	2.6000	2.5500	2.5500	2.6000	2.6500	2.5000	2.6000	2.5000	2.5000	2.5500
Barrinha_z	Micrômetro	0.025	mm	2.4000	2.3500	2.3500	2.4000	2.4500	2.3000	2.4000	2.3000	2.3000	2.3500
Barrinha_z	Micrômetro	0.025	mm	2.4500	2.4000	2.4000	2.4500	2.5000	2.3500	2.4500	2.3500	2.3500	2.4000
Barra_x	Trena	0.05	cm	55.0000	54.9000	55.0000	55.1000	54.8000	55.0000	54.9000	55.0000	55.1000	54.8000
Barra_x	Régua	0.05	cm	55.2000	54.7000	55.1000	54.8000	54.9000	55.2000	54.7000	55.1000	54.8000	54.9000
Barra_x	Trena	0.05	cm	54.9000	55.0000	55.1000	54.8000	55.0000	54.9000	55.0000	55.1000	54.8000	55.0000
Barra_x	Trena	0.05	cm	55.0000	54.9000	55.0000	55.1000	54.8000	55.0000	54.9000	55.0000	55.1000	54.8000
Barra_x	Régua	0.05	cm	54.9000	55.2000	54.7000	55.1000	54.8000	54.9000	55.2000	54.7000	55.1000	55.0000
Barra_y	Régua	0.05	cm	1.3300	1.2600	1.2800	1.2900	1.2600	1.2800	1.3500	1.3700	1.3000	1.2300
Barra_y	Régua	0.05	cm	1.3300	1.2600	1.2800	1.2900	1.2600	1.2800	1.3500	1.3700	1.3000	1.2300
Barra_y	Régua	0.05	cm	1.3400	1.2700	1.2900	1.3000	1.2700	1.2900	1.3600	1.3800	1.3100	1.2400
Barra_y	Régua	0.05	cm	1.3500	1.2800	1.3000	1.3100	1.2800	1.3000	1.3700	1.3900	1.3200	1.2500
Barra_y	Régua	0.05	cm	1.3600	1.2900	1.3100	1.3200	1.2900	1.3100	1.3800	1.4000	1.3300	1.2600
Barra_z	Micrômetro	0.025	mm	3.4500	3.4000	3.5500	3.4000	3.6000	3.4500	3.5500	3.4000	3.5000	3.4000
Barra_z	Micrômetro	0.025	mm	3.4500	3.4000	3.5500	3.4000	3.6000	3.4500	3.5500	3.4000	3.5000	3.4000
Barra_z	Micrômetro	0.025	mm	3.4600	3.4100	3.5600	3.4100	3.6100	3.4600	3.5600	3.4100	3.5100	3.4100
Barra_z	Micrômetro	0.025	mm	3.4700	3.4200	3.5700	3.4200	3.6200	3.4700	3.5700	3.4200	3.5200	3.4200
